hash_bits,flip_count,key_id,fully_corrected,mismatched_before,mismatched_after,correction_steps,total_combos_evaluated,total_nodes_visited,max_flip_level_reached,nodes_with_no_correction
16,1,0,1,2,0,1,65,1,1,0
16,1,1,1,2,0,1,65,1,1,0
16,1,2,1,2,0,1,65,1,1,0
16,1,3,1,2,0,1,65,1,1,0
16,1,4,1,2,0,1,65,1,1,0
16,1,5,1,2,0,1,65,1,1,0
16,1,6,1,2,0,1,65,1,1,0
16,1,7,1,2,0,1,65,1,1,0
16,1,8,1,2,0,1,65,1,1,0
16,1,9,1,2,0,1,65,1,1,0
16,2,0,1,4,0,2,130,2,1,0
16,2,1,1,4,0,2,130,2,1,0
16,2,2,1,4,0,2,130,2,1,0
16,2,3,1,4,0,2,130,2,1,0
16,2,4,1,4,0,2,130,2,1,0
16,2,5,1,4,0,2,130,2,1,0
16,2,6,1,4,0,2,130,2,1,0
16,2,7,1,4,0,2,130,2,1,0
16,2,8,1,4,0,2,130,2,1,0
16,2,9,1,3,0,1,2081,1,2,0
16,3,0,1,5,0,3,195,3,1,0
16,3,1,1,6,0,3,195,3,1,0
16,3,2,1,6,0,3,195,3,1,0
16,3,3,1,6,0,3,195,3,1,0
16,3,4,1,6,0,3,195,3,1,0
16,3,5,1,6,0,3,195,3,1,0
16,3,6,1,6,0,3,195,3,1,0
16,3,7,1,6,0,3,195,3,1,0
16,3,8,1,6,0,3,195,3,1,0
16,3,9,1,4,0,2,2146,2,2,0
16,4,0,1,8,0,4,260,4,1,0
16,4,1,1,7,0,4,260,4,1,0
16,4,2,1,8,0,4,260,4,1,0
16,4,3,1,7,0,3,2211,3,2,0
16,4,4,1,8,0,4,260,4,1,0
16,4,5,1,8,0,4,260,4,1,0
16,4,6,1,5,0,2,43810,2,3,0
16,4,7,1,7,0,3,2211,3,2,0
16,4,8,1,8,0,4,260,4,1,0
16,4,9,1,7,0,4,260,4,1,0
16,5,0,1,10,0,5,325,5,1,0
16,5,1,1,9,0,4,2276,4,2,0
16,5,2,1,9,0,4,2276,4,2,0
16,5,3,1,10,0,5,325,5,1,0
16,5,4,1,9,0,4,2276,4,2,0
16,5,5,1,8,0,5,325,5,1,0
16,5,6,1,9,0,4,2276,4,2,0
16,5,7,1,9,0,5,325,5,1,0
16,5,8,1,8,0,3,4227,3,2,0
16,5,9,1,9,0,4,2276,4,2,0
16,6,0,1,10,0,5,2341,5,2,0
16,6,1,1,11,0,6,390,6,1,0
16,6,2,1,9,0,5,2341,5,2,0
16,6,3,1,9,0,4,4292,4,2,0
16,6,4,1,12,0,6,390,6,1,0
16,6,5,1,10,0,5,2341,5,2,0
16,6,6,1,10,0,5,2341,5,2,0
16,6,7,1,11,0,5,2341,5,2,0
16,6,8,1,10,0,5,2341,5,2,0
16,6,9,1,10,0,6,390,6,1,0
16,7,0,1,12,0,6,2406,6,2,0
16,7,1,1,12,0,7,455,7,1,0
16,7,2,1,12,0,6,2406,6,2,0
16,7,3,1,12,0,5,4357,5,2,0
16,7,4,1,12,0,7,455,7,1,0
16,7,5,1,13,0,7,455,7,1,0
16,7,6,1,12,0,6,2406,6,2,0
16,7,7,1,10,0,4,679316,4,4,0
16,7,8,1,12,0,5,44005,5,3,0
16,7,9,1,13,0,7,455,7,1,0
16,8,0,1,13,0,6,4422,6,2,0
16,8,1,1,12,0,6,4422,6,2,0
16,8,2,1,13,0,7,2471,7,2,0
16,8,3,1,14,0,8,520,8,1,0
16,8,4,1,14,0,8,520,8,1,0
16,8,5,1,14,0,7,2471,7,2,0
16,8,6,1,13,0,7,2471,7,2,0
16,8,7,1,14,0,7,2471,7,2,0
16,8,8,1,11,0,5,46021,5,3,0
16,8,9,1,13,0,6,4422,6,2,0
16,9,0,1,16,0,8,2536,8,2,0
16,9,1,1,15,0,7,4487,7,2,0
16,9,2,1,15,0,8,2536,8,2,0
16,9,3,1,17,0,8,2536,8,2,0
16,9,4,1,13,0,6,46086,6,3,0
16,9,5,1,13,0,5,48037,5,3,0
16,9,6,1,13,0,5,87685,5,3,0
16,9,7,1,15,0,7,4487,7,2,0
16,9,8,1,12,0,6,46086,6,3,0
16,9,9,1,16,0,9,585,9,1,0
16,10,0,1,16,0,8,4552,8,2,0
16,10,1,1,18,0,8,4552,8,2,0
16,10,2,1,15,0,8,44200,8,3,0
16,10,3,1,16,0,7,6503,7,2,0
16,10,4,1,14,0,8,44200,8,3,0
16,10,5,1,16,0,8,4552,8,2,0
16,10,6,1,15,0,7,46151,7,3,0
16,10,7,1,18,0,9,2601,9,2,0
16,10,8,1,14,0,7,6503,7,2,0
16,10,9,1,15,0,8,4552,8,2,0
