flip_mode,hash_bits,flip_count,key_id,fully_corrected,mismatched_before,mismatched_after,correction_steps,total_combos_evaluated,total_nodes_visited,max_flip_level_reached,nodes_with_no_correction
random,16,1,0,1,2,0,1,65,1,1,0
random,16,1,1,1,2,0,1,65,1,1,0
random,16,1,2,1,2,0,1,65,1,1,0
random,16,1,3,1,2,0,1,65,1,1,0
random,16,1,4,1,2,0,1,65,1,1,0
random,16,1,5,1,2,0,1,65,1,1,0
random,16,1,6,1,2,0,1,65,1,1,0
random,16,1,7,1,2,0,1,65,1,1,0
random,16,1,8,1,2,0,1,65,1,1,0
random,16,1,9,1,2,0,1,65,1,1,0
random,16,1,10,1,2,0,1,65,1,1,0
random,16,1,11,1,2,0,1,65,1,1,0
random,16,1,12,1,2,0,1,65,1,1,0
random,16,1,13,1,2,0,1,65,1,1,0
random,16,1,14,1,2,0,1,65,1,1,0
random,16,1,15,1,2,0,1,65,1,1,0
random,16,1,16,1,2,0,1,65,1,1,0
random,16,1,17,1,2,0,1,65,1,1,0
random,16,1,18,1,2,0,1,65,1,1,0
random,16,1,19,1,2,0,1,65,1,1,0
random,16,2,0,1,4,0,2,130,2,1,0
random,16,2,1,1,3,0,1,2081,1,2,0
random,16,2,2,1,4,0,2,130,2,1,0
random,16,2,3,1,4,0,2,130,2,1,0
random,16,2,4,1,4,0,2,130,2,1,0
random,16,2,5,1,4,0,2,130,2,1,0
random,16,2,6,1,4,0,2,130,2,1,0
random,16,2,7,1,4,0,2,130,2,1,0
random,16,2,8,1,4,0,2,130,2,1,0
random,16,2,9,1,4,0,2,130,2,1,0
random,16,2,10,1,4,0,2,130,2,1,0
random,16,2,11,1,4,0,2,130,2,1,0
random,16,2,12,1,4,0,2,130,2,1,0
random,16,2,13,1,3,0,2,130,2,1,0
random,16,2,14,1,4,0,2,130,2,1,0
random,16,2,15,1,4,0,2,130,2,1,0
random,16,2,16,1,4,0,2,130,2,1,0
random,16,2,17,1,4,0,2,130,2,1,0
random,16,2,18,1,4,0,2,130,2,1,0
random,16,2,19,1,4,0,2,130,2,1,0
random,16,3,0,1,6,0,3,195,3,1,0
random,16,3,1,1,6,0,3,195,3,1,0
random,16,3,2,1,6,0,3,195,3,1,0
random,16,3,3,1,6,0,3,195,3,1,0
random,16,3,4,1,6,0,3,195,3,1,0
random,16,3,5,1,6,0,3,195,3,1,0
random,16,3,6,1,5,0,2,2146,2,2,0
random,16,3,7,1,5,0,2,2146,2,2,0
random,16,3,8,1,5,0,2,2146,2,2,0
random,16,3,9,1,5,0,2,2146,2,2,0
random,16,3,10,1,6,0,3,195,3,1,0
random,16,3,11,1,5,0,3,195,3,1,0
random,16,3,12,1,5,0,2,2146,2,2,0
random,16,3,13,1,4,0,2,2146,2,2,0
random,16,3,14,1,6,0,3,195,3,1,0
random,16,3,15,1,6,0,3,195,3,1,0
random,16,3,16,1,6,0,3,195,3,1,0
random,16,3,17,1,5,0,2,2146,2,2,0
