hash_bits,group_config,row_group_size,col_group_size,ber_target,ber_actual,flip_count,success_rate,mean_combos,stdev_combos,mean_solve_time_s,stdev_solve_time_s,n_trials
16,g=1,1,1,0.001,0.015625,1,1.0,2.0,0.0,0.001711,2.7e-05,10
16,g=1,1,1,0.001931,0.015625,1,1.0,2.0,0.0,0.00172,5.6e-05,10
16,g=1,1,1,0.003728,0.015625,1,1.0,2.0,0.0,0.001698,8e-06,10
16,g=1,1,1,0.007197,0.015625,1,1.0,2.0,0.0,0.001702,1.2e-05,10
16,g=1,1,1,0.013895,0.015625,1,1.0,2.0,0.0,0.001695,1.9e-05,10
16,g=1,1,1,0.026827,0.03125,2,1.0,4.8,0.42,0.001959,4.8e-05,10
16,g=1,1,1,0.051795,0.046875,3,1.0,8.3,1.06,0.002296,0.000104,10
16,g=1,1,1,0.1,0.09375,6,1.0,23.7,2.91,0.003774,0.000278,10
16,g=2,2,2,0.001,0.015625,1,1.0,5.0,0.0,0.000972,7e-06,10
16,g=2,2,2,0.001931,0.015625,1,1.0,5.0,0.0,0.000975,1.6e-05,10
16,g=2,2,2,0.003728,0.015625,1,1.0,5.0,0.0,0.000973,1.7e-05,10
16,g=2,2,2,0.007197,0.015625,1,1.0,5.0,0.0,0.000975,1.2e-05,10
16,g=2,2,2,0.013895,0.015625,1,1.0,5.0,0.0,0.000977,1.5e-05,10
16,g=2,2,2,0.026827,0.03125,2,1.0,16.0,7.44,0.001756,0.00053,10
16,g=2,2,2,0.051795,0.046875,3,1.0,59.0,85.02,0.004808,0.006008,10
16,g=2,2,2,0.1,0.09375,6,1.0,342.9,213.05,0.025029,0.015237,10
16,g=4,4,4,0.001,0.015625,1,1.0,17.0,0.0,0.001277,1.5e-05,10
16,g=4,4,4,0.001931,0.015625,1,1.0,17.0,0.0,0.001274,1.1e-05,10
16,g=4,4,4,0.003728,0.015625,1,1.0,17.0,0.0,0.001282,2.2e-05,10
16,g=4,4,4,0.007197,0.015625,1,1.0,17.0,0.0,0.001278,1.2e-05,10
16,g=4,4,4,0.013895,0.015625,1,1.0,17.0,0.0,0.001283,1.5e-05,10
16,g=4,4,4,0.026827,0.03125,2,1.0,207.9,224.76,0.012466,0.013215,10
16,g=4,4,4,0.051795,0.046875,3,1.0,1345.0,2191.57,0.078159,0.126877,10
16,g=4,4,4,0.1,0.09375,6,0.9,93482.5,103889.16,5.419352,6.031402,10
32,g=1,1,1,0.001,0.015625,1,1.0,2.0,0.0,0.001402,1.8e-05,10
32,g=1,1,1,0.001931,0.015625,1,1.0,2.0,0.0,0.001396,9e-06,10
32,g=1,1,1,0.003728,0.015625,1,1.0,2.0,0.0,0.001406,7e-06,10
32,g=1,1,1,0.007197,0.015625,1,1.0,2.0,0.0,0.001406,1.2e-05,10
32,g=1,1,1,0.013895,0.015625,1,1.0,2.0,0.0,0.001413,2.1e-05,10
32,g=1,1,1,0.026827,0.03125,2,1.0,5.0,0.0,0.001659,1.2e-05,10
32,g=1,1,1,0.051795,0.046875,3,1.0,8.5,0.53,0.001949,5.2e-05,10
32,g=1,1,1,0.1,0.09375,6,1.0,24.2,3.97,0.003194,0.000315,10
32,g=2,2,2,0.001,0.015625,1,1.0,5.0,0.0,0.000761,1.9e-05,10
32,g=2,2,2,0.001931,0.015625,1,1.0,5.0,0.0,0.000754,3e-06,10
32,g=2,2,2,0.003728,0.015625,1,1.0,5.0,0.0,0.000757,9e-06,10
32,g=2,2,2,0.007197,0.015625,1,1.0,5.0,0.0,0.000756,5e-06,10
32,g=2,2,2,0.013895,0.015625,1,1.0,5.0,0.0,0.000754,4e-06,10
32,g=2,2,2,0.026827,0.03125,2,1.0,19.7,12.07,0.001583,0.000655,10
32,g=2,2,2,0.051795,0.046875,3,1.0,53.7,24.59,0.003475,0.001362,10
32,g=2,2,2,0.1,0.09375,6,1.0,571.8,717.85,0.032419,0.040303,10
32,g=4,4,4,0.001,0.015625,1,1.0,17.0,0.0,0.000953,7e-06,10
32,g=4,4,4,0.001931,0.015625,1,1.0,17.0,0.0,0.000954,4e-06,10
32,g=4,4,4,0.003728,0.015625,1,1.0,17.0,0.0,0.000959,1.5e-05,10
32,g=4,4,4,0.007197,0.015625,1,1.0,17.0,0.0,0.000955,7e-06,10
32,g=4,4,4,0.013895,0.015625,1,1.0,17.0,0.0,0.000953,6e-06,10
32,g=4,4,4,0.026827,0.03125,2,1.0,112.1,151.48,0.005076,0.006547,10
32,g=4,4,4,0.051795,0.046875,3,1.0,448.3,201.11,0.019735,0.008787,10
32,g=4,4,4,0.1,0.09375,6,1.0,35331.2,13943.06,1.536032,0.604837,10
