scheme,overhead_ratio,correction_threshold_ber,correctable_bits,source
"Hamming(16399,16384)",0.0009,6e-05,1,analytic
"BCH(32767,32707,t=2)",0.0018,6e-05,2,analytic
"BCH(32767,32647,t=4)",0.0037,0.00012,4,analytic
"BCH(32767,32527,t=8)",0.0074,0.00025,8,analytic
"BCH(32767,32287,t=16)",0.0149,0.0005,16,analytic
"BCH(32767,31807,t=32)",0.0302,0.00101,32,analytic
"BCH(32767,30847,t=64)",0.0622,0.00207,64,analytic
"BCH(32767,28927,t=128)",0.1327,0.00442,128,analytic
"BCH(32767,25087,t=256)",0.3061,0.0102,256,analytic
"BCH(32767,17407,t=512)",0.8824,0.02941,512,analytic
"BCH(32767,2047,t=1024)",15.0073,0.50024,1024,analytic
LDPC(rate=0.75),0.3333,,,analytic
LDPC(rate=0.5),1.0,,,analytic
